139.99.75.11,8080
27.72.95.176,8080
123.27.3.246,39915
195.187.63.42,8080
61.19.145.66,8080
82.200.107.98,3128
185.132.177.153,1080
139.99.99.165,3128
139.99.73.249,8080
128.199.214.87,3128
79.120.177.106,8080
54.68.38.141,8888
84.22.195.194,8080
64.124.38.138,8080
5.165.180.206,8080
54.38.78.108,3128
69.197.181.202,3128
202.162.211.244,80
135.148.33.76,8080
103.76.12.42,80
51.79.204.155,8080
180.149.235.39,8080
45.127.246.98,8080
165.16.58.124,8080
43.129.200.135,6969
190.108.95.195,999
95.154.104.147,44393
64.124.38.125,8080
181.143.157.242,50942
110.168.30.108,8080
83.218.168.103,8080
45.235.15.15,999
156.54.212.62,3128
223.27.194.66,63141
14.207.57.244,8080
36.94.13.63,3128
186.47.83.126,8080
131.196.114.5,6969
203.189.230.198,8080
64.139.79.35,8080
178.219.37.70,8080
178.217.216.184,49086
181.224.162.205,999
